-1	Data:		X-Ray Emission Energies [eV]												Element rjump [??]		Element Absorption Edge Coefficients [eV] (Edge)												Coster-Kronig Coefficients(CK)			Fluorescence Yields (Omega)		
-1	Source:		"Handbook of Chemistry and Physics, 63rd Ed., CRC Press"												??		"Handbook of Chemistry and Physics, 63rd Ed., CRC Press."												"Krause J. Phys. Chem. Ref. Data Vol. 8, No. 2, 1979	p. 307."			"Krause J. Phys. Chem. Ref. Data Vol. 8, No. 2, 1979	p. 307."		
-1			K		L1			L2 		L3		M3	M4	M5																				
0	Element	Mass	Kb	Ka	Lg2	Lb3	Lb4	Lg1	Lb1	Lb2	La1	Mg	Mb	Ma	rjump1	rjump4	K	L1	L2	L3	M1	M2	M3	M4	M5	N1	N2	N3	c12	c13	c23	l1	l2	l3
33	As	74.922	11726	10544	1388	1388	1388	1317	1317	1282	1282	0	0	0	7.22	4.661	11867	1527	1359	1323	204	146	141	41	41	3	3	3	0.28	0.53	0.063	0.0028	0.014	0.016
34	Se	78.96	12496	11222	1490	1490	1490	1419	1419	1379	1379	0	0	0	7.18	4.583	12658	1654	1476	1433	232	168	162	57	57	6	6	6	0.28	0.52	0.076	0.0032	0.016	0.018
35	Br	79.909	13291	11924	1596	1596	1596	1526	1526	1480	1480	0	0	0	7.142	4.524	13474	1782	1596	1550	257	189	182	70	69	27	5	5	0.28	0.52	0.088	0.0036	0.018	0.02
36	Kr	83.8	14112	12649	1707	1697	1697	1637	1637	1586	1586	0	0	0	7	4.5	14326	1921	1727	1675	289	223	214	89	89	24	11	11	0.27	0.52	0.1	0.0041	0.02	0.022
37	Rb	85.47	14961	13395	2051	1827	1818	1752	1752	1694	1694	0	0	0	7.018	4.39	15200	2065	1864	1804	322	247	239	112	110	29	15	14	0.27	0.52	0.109	0.0046	0.022	0.024
38	Sr	87.62	15836	14165	2197	1947	1936	1872	1872	1807	1807	0	0	0	6.976	4.314	16105	2216	2007	1940	358	280	269	135	133	38	20	20	0.27	0.52	0.117	0.0051	0.024	0.026
39	Y	88.905	16738	14958	2347	2072	2060	1996	1996	1923	1923	0	0	0	6.95	4.24	17038	2373	2156	2080	394	312	300	160	157	45	26	26	0.26	0.52	0.126	0.0059	0.026	0.028
40	Zr	91.22	17668	15775	2503	2201	2187	2124	2124	2042	2042	0	0	0	6.96	4.166	17998	2532	2307	2222	430	344	331	182	180	51	29	29	0.26	0.52	0.132	0.0068	0.028	0.031
41	Nb	92.91	18623	16615	2664	2335	2319	2462	2257	2367	2166	0	0	0	7.035	4.123	18986	2698	2465	2371	468	378	363	207	205	58	34	34	0.1	0.61	0.137	0.0094	0.031	0.034
42	Mo	95.94	19608	17479	2831	2473	2456	2624	2395	2518	2293	0	0	0	6.94	3.979	20000	2866	2625	2520	505	410	392	230	227	62	35	35	0.1	0.61	0.141	0.01	0.034	0.037
43	Tc	99	20619	18367	3000	2605	2592	2792	2537	2630	2424	0	0	0	6.5	3.9	21044	3043	2793	2677	544	445	425	256	253	68	39	39	0.1	0.61	0.144	0.011	0.037	0.04
44	Ru	101.07	21657	19279	3181	2763	2741	2965	2683	2836	2559	0	0	0	6.049	3.897	22117	3224	2967	2838	585	483	461	284	279	75	43	43	0.1	0.61	0.148	0.012	0.04	0.043
45	Rh	102.9	22724	20216	3364	2916	2891	3144	2834	3001	2697	0	0	0	6.58	3.839	23220	3412	3146	3004	627	521	496	312	307	81	48	48	0.1	0.6	0.15	0.013	0.043	0.046
46	Pd	106.4	23819	21177	3553	3073	3045	3329	2990	3172	2839	0	0	0	6.95	3.8	24350	3604	3330	3173	670	559	532	340	335	86	51	51	0.1	0.6	0.151	0.014	0.047	0.049
47	Ag	107.87	24942	22163	3746	3234	3203	3520	3151	3348	2984	0	0	0	6.73	3.71	25514	3806	3524	3351	718	602	571	373	367	95	63	56	0.1	0.59	0.153	0.016	0.051	0.052
48	Cd	112.4	26096	23174	3951	3401	3367	3717	3317	3528	3134	0	0	0	6.855	3.72	26711	4018	3727	3538	770	651	617	411	404	108	67	67	0.1	0.59	0.155	0.018	0.056	0.056
49	In	114.82	27276	24210	4161	3573	3535	3921	3487	3714	3287	0	0	0	6.89	3.61	27940	4238	3938	3730	826	702	664	451	443	122	77	77	0.1	0.59	0.157	0.02	0.061	0.06
50	Sn	118.69	28486	25271	4377	3750	3708	4131	3663	3905	3444	0	0	0	5.92	3.539	29200	4465	4156	3929	884	756	714	493	485	137	89	89	0.17	0.27	0.157	0.037	0.065	0.064
51	Sb	121.75	29726	26359	4600	3933	3886	4348	3844	4101	3605	0	0	0	5.8	3.46	30491	4698	4380	4132	944	812	766	537	528	152	98	98	0.17	0.28	0.156	0.039	0.069	0.069
52	Te	127.6	30996	27472	4829	4120	4070	4571	4030	4302	3769	0	0	0	5.8	3.403	31814	4939	4612	4341	1006	870	819	583	572	168	110	110	0.18	0.28	0.155	0.041	0.074	0.074
53	I	126.904	32295	28612	5066	4313	4258	4801	4221	4508	3938	0	0	0	5.7	3.39	33169	5188	4852	4557	1072	931	875	631	619	186	123	123	0.18	0.28	0.154	0.044	0.079	0.079
54	Xe	131.3	33624	29779	5305	4513	4258	5037	4417	4719	4110	0	0	0	5.6	3.3	34561	5453	5104	4782	1143	999	937	685	672	208	147	147	0.19	0.28	0.154	0.046	0.083	0.085
55	Cs	132.905	34987	30973	5546	4717	4649	5280	4620	4936	4287	0	0	0	5.5	3.251	35985	5714	5359	5012	1217	1065	998	740	726	231	172	162	0.19	0.28	0.154	0.049	0.09	0.091
56	Ba	137.34	36378	32194	5804	4927	4852	5531	4828	5157	4466	0	0	0	5.5	3.23	37441	5989	5624	5247	1293	1137	1062	796	781	253	192	180	0.19	0.28	0.153	0.052	0.096	0.097
57	La	138.91	37801	33442	6067	5143	5062	5789	5042	5384	4651	1027	854	833	5.5	3.168	38925	6266	5891	5483	1361	1204	1123	849	832	270	206	191	0.19	0.29	0.153	0.055	0.103	0.104
58	Ce	140.12	39257	34720	6332	5365	5277	6052	5262	5613	4840	1075	902	883	5.5	3.133	40443	6549	6164	5723	1435	1273	1185	901	883	290	223	207	0.19	0.29	0.153	0.058	0.11	0.111
59	Pr	140.91	40748	36026	6607	5592	5498	6322	5489	5850	5034	1127	950	929	5.4	3.1	41991	6835	6440	5964	1511	1337	1242	951	931	305	236	218	0.19	0.29	0.153	0.061	0.117	0.118
60	Nd	144.24	42271	37361	6892	5829	5722	6602	5722	6089	5230	1180	997	978	5.3	3.044	43569	7126	6722	6208	1575	1403	1297	1000	978	315	243	224	0.19	0.3	0.152	0.064	0.124	0.125
61	Pm	147	43826	38725	7185	6071	5957	6892	5961	6339	5433	1237	1049	1029	5	3	45184	7428	7013	6459	1650	1471	1357	1052	1027	330	242	242	0.19	0.3	0.151	0.066	0.132	0.132
62	Sm	150.35	45413	40118	7496	6318	6196	7178	6205	6587	5636	1291	1100	1081	5	3	46834	7737	7312	6716	1723	1541	1420	1106	1080	346	266	247	0.19	0.3	0.15	0.071	0.14	0.139
63	Eu	151.96	47038	41542	7782	6571	6439	7480	6456	6843	5846	1346	1153	1131	5	3	48519	8052	7617	6977	1800	1614	1481	1161	1131	360	284	257	0.19	0.3	0.149	0.075	0.149	0.147
64	Gd	157.25	48697	43000	8096	6831	6687	7786	6713	7103	6057	1402	1209	1185	5	3	-1	8376	7930	7243	1881	1688	1544	1217	1185	376	289	271	0.19	0.3	0.147	0.079	0.158	0.155
65	Tb	158.924	-1	44482	8410	7096	6940	8102	6978	7367	6273	1461	1266	1240	5	2.86	-1	8708	8252	7514	1968	1768	1611	1275	1241	398	310	285	0.19	0.3	0.145	0.083	0.167	0.164
66	Dy	162.5	-1	45998	8733	7370	7204	8419	7248	7636	6495	1522	1325	1293	5	2.83	-1	9046	8581	7790	2047	1842	1676	1333	1295	416	332	293	0.19	0.3	0.143	0.089	0.178	0.174
67	Ho	164.93	-1	47547	9069	7652	7471	8747	7525	7911	6720	1576	1383	1348	5	2.8	-1	9394	8918	8071	2128	1923	1741	1392	1351	436	344	307	0.19	0.3	0.142	0.094	0.189	0.182
68	Er	167.26	-1	49128	9417	7939	7745	9089	7811	8189	6949	1643	1443	1406	5	2.8	-1	9751	9264	8358	2207	2006	1812	1453	1409	449	366	320	0.19	0.3	0.14	0.1	0.2	0.192
69	Tm	168.93	-1	-1	9754	8231	8026	9426	8101	8468	7180	1705	1503	1462	5	2.8	-1	10116	9617	8648	2307	2090	1885	1515	1468	472	386	337	0.19	0.29	0.139	0.106	0.211	0.201
70	Yb	173.04	-1	-1	10016	8537	8313	9870	8402	8759	7416	1765	1568	1521	4.75	2.691	-1	10486	9978	8944	2398	2173	1950	1576	1528	487	397	344	0.19	0.29	0.138	0.112	0.222	0.21
71	Lu	174.97	-1	-1	10485	8847	8606	10143	8709	9044	7656	1832	1631	1581	4.7	2.65	-1	10870	10349	9244	2491	2264	2024	1639	1589	506	410	359	0.19	0.28	0.136	0.12	0.234	0.22
72	Hf	178.49	-1	-1	10861	9163	8905	10516	9023	9342	7899	1895	1698	1645	4.7	2.64	-1	11271	10739	9561	2601	2365	2108	1716	1662	538	437	380	0.18	0.28	0.135	0.128	0.246	0.231
73	Ta	180.95	-1	-1	11247	9488	9212	10895	9343	9645	8146	1964	1766	1710	4.7	2.615	-1	11682	11136	9881	2708	2469	2194	1793	1735	567	465	405	0.18	0.28	0.134	0.137	0.258	0.243
74	W	183.85	-1	-1	11641	9819	9525	11286	9672	9955	8398	2035	1835	1775	4.7	2.6	-1	12100	11544	10207	2820	2575	2281	1872	1809	595	492	425	0.17	0.28	0.133	0.147	0.27	0.255
75	Re	186.2	-1	-1	12046	10160	9846	11685	10010	10268	8652	2107	1906	1843	4.7	2.574	-1	12527	11959	10535	2932	2682	2367	1949	1883	625	518	444	0.16	0.33	0.13	0.144	0.283	0.268
76	Os	190.2	-1	-1	12461	10511	10175	12095	10356	10591	8912	2182	1978	1910	4.6	2.544	-1	12968	12385	10871	3049	2792	2457	2031	1960	654	547	468	0.16	0.39	0.128	0.13	0.295	0.281
77	Ir	192.2	-1	-1	12883	10867	10511	12513	10708	10912	9175	2254	2054	1980	4.6	2.52	-1	13419	12824	11215	3174	2909	2551	2116	2040	690	577	494	0.15	0.45	0.126	0.12	0.308	0.294
78	Pt	195.09	-1	-1	13315	11231	10854	12942	11071	11240	9442	2331	2127	2051	4.6	2.48	-1	13880	13273	11564	3296	3027	2645	2202	2122	722	609	519	0.14	0.5	0.124	0.114	0.321	0.306
79	Au	196.97	-1	-1	13759	11610	11205	13382	11442	11576	9713	2410	2205	2123	4.6	2.47	-1	14353	13734	11919	3425	3148	2743	2291	2206	759	644	545	0.14	0.53	0.122	0.107	0.334	0.32
80	Hg	200.59	-1	-1	14214	11995	11563	13830	11823	11914	9989	2488	2283	2195	4.6	2.438	-1	14839	14209	12284	3562	3279	2847	2385	2295	800	677	571	0.13	0.56	0.12	0.107	0.347	0.333
81	Tl	204.37	-1	-1	14681	12390	11931	14292	12213	12261	10269	2571	2362	2271	4.5	2.404	-1	15347	14698	12657	3704	3416	2957	2485	2389	846	721	609	0.13	0.57	0.118	0.107	0.36	0.347
